pmcid,pmid,title,journal,year,cited_in
PMC10148934,37119332,Metabolic engineering of Bacillus subtilis toward the efficient and stable production of C(30)-carotenoids,AMB Express,2023,docs/research/PRODUCT_OBSERVATION.md:133
PMC10349872,37454173,Reverse transcription-quantitative PCR (RT-qPCR) without the need for prior removal of DNA,Sci Rep,2023,docs/research/UPR_ANCHOR.md:741
PMC106631,9797269,Effect of specific growth rate on fermentative capacity of baker's yeast,Appl Environ Microbiol,1998,docs/research/CHEMOSTAT_REFERENCE.md:23;docs/superseded/reference-phenotype.md:25
PMC107039,9515908,"Loss of the plasma membrane-bound protein Gas1p in Saccharomyces cerevisiae results in the release of beta1,3-glucan into the medium and induces a compensation mechanism to ensure cell wall integrity",J Bacteriol,1998,src/ystwin/fba/stress_biomass.py:149;src/ystwin/fba/stress_biomass.py:237;src/ystwin/fba/stress_biomass.py:246
PMC11850225,39995043,RNA exosome-driven RNA processing instructs the duration of the unfolded protein response,Nucleic Acids Res,2025,docs/research/UPR_ANCHOR.md:647
PMC11881926,39971732,Characterizing heterologous protein burden in Komagataella phaffii,FEMS Yeast Res,2025,docs/SECOND_DATASET_HUNT.md:48
PMC11968331,40181231,Exploring Yeast's Energy Dynamics: The General Stress Response Lowers Maintenance Energy Requirement,Microb Biotechnol,2025,src/ystwin/bridge/maintenance_calibration.py:11;src/ystwin/bridge/maintenance_calibration.py:270;src/ystwin/bridge/maintenance_calibration.py:276
PMC12435717,40959222,Impairment in global protein synthesis uncouples UPR gene induction from HAC1 mRNA splicing in Saccharomyces cerevisiae,Front Microbiol,2025,docs/research/UPR_ANCHOR.md:683
PMC12442391,40772766,Potential of a constitutive-UPR and histone deacetylase A-deficient Saccharomyces cerevisiae strain for biomolecule production,Appl Environ Microbiol,2025,docs/research/UPR_ANCHOR.md:691
PMC12443478,40960085,Impact of maximal overexpression of a non-toxic protein on yeast cell physiology,Elife,2025,src/ystwin/mech/burden.py:60
PMC12455641,40891387,Complex Kinetic Models Predict β-Carotene Production and Reveal Flux Limitations in Recombinant Saccharomyces cerevisiae Strains,ACS Synth Biol,2025,docs/research/CALIBRATION_DATA.md:6;docs/research/KINETIC_FIT.md:356
PMC126239,12184808,Accurate normalization of real-time quantitative RT-PCR data by geometric averaging of multiple internal control genes,Genome Biol,2002,docs/research/UPR_ANCHOR.md:722
PMC1326156,16407158,Generating disulfides enzymatically: reaction products and electron acceptors of the endoplasmic reticulum thiol oxidase Ero1p,Proc Natl Acad Sci U S A,2006,src/ystwin/fba/insulin.py:419
PMC1932764,17496128,High-level production of beta-carotene in Saccharomyces cerevisiae by successive transformation with carotenogenic genes from Xanthophyllomyces dendrorhous,Appl Environ Microbiol,2007,docs/EXTERNAL_PRODUCT_VALIDATION.md:273;scripts/matched_contrast.py:227
PMC213980,2960663,Heat-induced accumulation and futile cycling of trehalose in Saccharomyces cerevisiae,J Bacteriol,1987,src/ystwin/fba/stress_biomass.py:157;src/ystwin/fba/stress_biomass.py:256;src/ystwin/fba/stress_biomass.py:264
PMC2174172,17959824,"Coordination of growth rate, cell cycle, stress response, and metabolic activity in yeast",Mol Biol Cell,2008,docs/research/UPR_ANCHOR.md:781
PMC2366073,18374652,Diverse two-dimensional input functions control bacterial sugar genes,Mol Cell,2008,docs/research/GENERALIZATION.md:325;docs/research/GENERALIZATION.md:698
PMC2547041,18676708,Physiological and transcriptional responses to high concentrations of lactic acid in anaerobic chemostat cultures of Saccharomyces cerevisiae,Appl Environ Microbiol,2008,src/ystwin/mech/ph.py:1591;src/ystwin/mech/ph.py:353
PMC2700080,19497126,Validation of a high-throughput fermentation system based on online monitoring of biomass and fluorescence in continuously shaken microtiter plates,Microb Cell Fact,2009,docs/SOURCE_AUDIT.md:157
