check,expected,actual,status,detail
asset resolver: atp_sensor_plates(),a path or None (override: YSTWIN_ATP_SENSOR),data/atp_sensor (in-repo),PASS,
asset resolver: biosensor_plates(),a path or None (override: YSTWIN_PLATES),absent,PASS,not on this machine; set YSTWIN_PLATES to supply it
asset resolver: data_dir(),a path or None (override: none),data (in-repo),PASS,
asset resolver: ec_yeast_gem(),a path or None (override: YSTWIN_EC_YEAST_GEM),data/gem/ecYeastGEM_batch.xml.gz (in-repo),PASS,
asset resolver: crosstalk_workbook(),a path or None (override: YSTWIN_CROSSTALK_WORKBOOK),absent,PASS,not on this machine; set YSTWIN_CROSSTALK_WORKBOOK to supply it
asset resolver: gen5_xpt_dir(),a path or None (override: YSTWIN_GEN5_XPT),absent,PASS,not on this machine; set YSTWIN_GEN5_XPT to supply it
asset resolver: igem_results(),a path or None (override: YSTWIN_IGEM_RESULTS),absent,PASS,not on this machine; set YSTWIN_IGEM_RESULTS to supply it
asset resolver: outputs_dir(),a path or None (override: none),outputs (in-repo),PASS,
asset resolver: qpcr_dir(),a path or None (override: YSTWIN_QPCR),data/qpcr_repaired (in-repo),PASS,
asset resolver: qpcr_raw_dir(),a path or None (override: YSTWIN_QPCR_RAW),absent,PASS,not on this machine; set YSTWIN_QPCR_RAW to supply it
asset resolver: thermo_dir(),a path or None (override: YSTWIN_THERMO),data/thermo (in-repo),PASS,
asset resolver: yeast_gem(),a path or None (override: YSTWIN_YEAST_GEM),data/gem/yeast-GEM.xml.gz (in-repo),PASS,
override documented: YSTWIN_ATP_SENSOR,named in docs/REPRODUCING.md,named,PASS,
override documented: YSTWIN_PLATES,named in docs/REPRODUCING.md,named,PASS,
override documented: YSTWIN_CROSSTALK_WORKBOOK,named in docs/REPRODUCING.md,named,PASS,
override documented: YSTWIN_EC_YEAST_GEM,named in docs/REPRODUCING.md,named,PASS,
override documented: YSTWIN_GEN5_XPT,named in docs/REPRODUCING.md,named,PASS,
override documented: YSTWIN_IGEM_RESULTS,named in docs/REPRODUCING.md,named,PASS,
override documented: YSTWIN_QPCR,named in docs/REPRODUCING.md,named,PASS,
override documented: YSTWIN_QPCR_RAW,named in docs/REPRODUCING.md,named,PASS,
override documented: YSTWIN_THERMO,named in docs/REPRODUCING.md,named,PASS,
override documented: YSTWIN_YEAST_GEM,named in docs/REPRODUCING.md,named,PASS,
interpreter satisfies requires-python,>=3.11,3.14.2,PASS,
pin matches installed: numpy [runtime],2.4.1,2.4.1,PASS,
pin matches installed: scipy [runtime],1.17.0,1.17.0,PASS,
pin matches installed: pandas [runtime],2.3.3,2.3.3,PASS,
pin matches installed: openpyxl [runtime],3.1.2,3.1.2,PASS,
pin matches installed: cobra [runtime],0.32.1,0.32.1,PASS,
pin matches installed: pytest [dev],9.0.2,9.0.2,PASS,
pin matches installed: matplotlib [dev],3.10.8,3.10.8,PASS,
pin matches installed: ruff [dev],0.15.22,0.15.22,PASS,
pin matches installed: pytfa [thermo],0.9.1,0.9.1,PASS,
pin matches installed: equilibrator-api [thermo],0.7.0,0.7.0,PASS,
cobra solver,an interface containing 'glpk',optlang.glpk_interface,PASS,"available: glpk, glpk_exact, scipy"
writer map: analyse_atp_sensor.py,['atp_sensor_*.png'],['atp_sensor_*.png'],PASS,
writer map: parked/run_d1.py,['d1_capacity_sweep_ec.csv'],['d1_capacity_sweep_ec.csv'],PASS,
writer map: plate_readings.py,"['autofluorescence_sensitivity.csv', 'late_window_sensitivity.csv', 'sensor_characterisation.csv']","['autofluorescence_sensitivity.csv', 'late_window_sensitivity.csv', 'sensor_characterisation.csv']",PASS,
writer map: register_prediction.py,['registered_prediction_D*.csv'],['registered_prediction_D*.csv'],PASS,
writer map: run_calibration.py,['panel_calibration.csv'],['panel_calibration.csv'],PASS,
writer map: run_d2.py,['d2_*__*.csv'],['d2_*.csv'],PASS,
writer map: run_g4.py,"['g4_anchor_fold_change.csv', 'g4_reporter_response.csv', 'g4_rt_minus_qc.csv', 'g4_verdicts.csv']","['g4_anchor_fold_change.csv', 'g4_reporter_response.csv', 'g4_rt_minus_qc.csv', 'g4_verdicts.csv']",PASS,
writer map: run_gates.py,"['d2_g1passed_*.csv', 'g1_*.csv']","['d2_g1passed_*.csv', 'g1_*.csv']",PASS,
writer map: run_power.py,['power_analysis.csv'],['power_analysis.csv'],PASS,
writer map: run_scenarios.py,['scenario_predictions.csv'],['scenario_predictions.csv'],PASS,
writer map: run_sensor_characterisation.py,"['autofluorescence_sensitivity.csv', 'late_window_sensitivity.csv', 'sensor_characterisation.csv']","['autofluorescence_sensitivity.csv', 'late_window_sensitivity.csv', 'sensor_characterisation.csv']",PASS,
writer map: run_training.py,"['stress_model_build.npz', 'stress_model_three_sensor.npz', 'stress_model_wide.npz', 'training_recovery.csv', 'training_transfer_build.csv', 'training_transfer_three_sensor.csv', 'training_transfer_wide.csv']","['stress_model_build.npz', 'stress_model_three_sensor.npz', 'stress_model_wide.npz', 'training_recovery.csv', 'training_transfer_build.csv', 'training_transfer_three_sensor.csv', 'training_transfer_wide.csv']",PASS,
writer map: run_transfer.py,"['module_recovery.csv', 'transfer_by_stressor.csv']","['module_recovery.csv', 'transfer_by_stressor.csv']",PASS,
output tracked: outputs/afl_circuit.csv,tracked,tracked,PASS,
output tracked: outputs/audit_claims.csv,tracked,tracked,PASS,
output tracked: outputs/audit_determinism.csv,tracked,tracked,PASS,
output tracked: outputs/audit_output_tables.csv,tracked or ignored,UNTRACKED,FAIL,produced but never committed; nobody else can see it
output tracked: outputs/audit_reproducibility.csv,tracked,tracked,PASS,
output tracked: outputs/autofluorescence_measured.csv,tracked,tracked,PASS,
output tracked: outputs/autofluorescence_sensitivity.csv,tracked,tracked,PASS,
output tracked: outputs/batch_sufficiency.csv,tracked,tracked,PASS,
output tracked: outputs/carotenoid_fit.csv,tracked or ignored,UNTRACKED,FAIL,produced but never committed; nobody else can see it
output tracked: outputs/carotenoid_heldout.csv,tracked or ignored,UNTRACKED,FAIL,produced but never committed; nobody else can see it
output tracked: outputs/carotenoid_parsimony.csv,tracked or ignored,UNTRACKED,FAIL,produced but never committed; nobody else can see it
output tracked: outputs/carotenoid_strain_capacity.csv,tracked or ignored,UNTRACKED,FAIL,produced but never committed; nobody else can see it
output tracked: outputs/condition_sweep.csv,tracked,tracked,PASS,
output tracked: outputs/cross_family_optimism.csv,tracked,tracked,PASS,
output tracked: outputs/cross_family_transfer.csv,tracked,tracked,PASS,
output tracked: outputs/d1_capacity_sweep_ec.csv,tracked,tracked,PASS,
output tracked: outputs/d2_20260701_ER_preliminary_(RAW)__mCitrine.csv,tracked,tracked,PASS,
output tracked: outputs/d2_20260709_ER_stress_1st_(RAW)__mCitrine.csv,tracked,tracked,PASS,
output tracked: outputs/d2_g1passed_20260701_ER_preliminary_(RAW).csv,tracked,tracked,PASS,
output tracked: outputs/d2_g1passed_20260709_ER_stress_1st_(RAW).csv,tracked,tracked,PASS,
output tracked: outputs/d2_g1passed_20260722_ERandOxidativeStress_NewProtocol_ANALYSED.csv,tracked,tracked,PASS,
output tracked: outputs/d2_g1passed_20260728_ERandOxidativeStress_NewProtocol_Replicate2.csv,tracked,tracked,PASS,
output tracked: outputs/d2_g1passed_20260803_ERandoxidativestress_Replicate3.csv,tracked,tracked,PASS,
output tracked: outputs/env_to_product.csv,tracked,tracked,PASS,
output tracked: outputs/env_to_product_multi.csv,tracked,tracked,PASS,
output tracked: outputs/environment_channel.csv,tracked,tracked,PASS,
output tracked: outputs/environment_law_scores.csv,tracked,tracked,PASS,
output tracked: outputs/error_budget.csv,tracked,tracked,PASS,
output tracked: outputs/estimator_accuracy.csv,tracked,tracked,PASS,
output tracked: outputs/external_channel_response.csv,tracked,tracked,PASS,
output tracked: outputs/external_channel_response_independent.csv,tracked,tracked,PASS,
output tracked: outputs/external_conditions.csv,tracked,tracked,PASS,
output tracked: outputs/external_conditions_independent.csv,tracked,tracked,PASS,
output tracked: outputs/external_module_map.csv,tracked,tracked,PASS,
output tracked: outputs/external_module_map_independent.csv,tracked,tracked,PASS,
output tracked: outputs/external_module_response.csv,tracked,tracked,PASS,
output tracked: outputs/external_module_response_independent.csv,tracked,tracked,PASS,
output tracked: outputs/external_nulls.csv,tracked,tracked,PASS,
output tracked: outputs/external_nulls_independent.csv,tracked,tracked,PASS,
output tracked: outputs/external_redundancy.csv,tracked,tracked,PASS,
output tracked: outputs/external_redundancy_independent.csv,tracked,tracked,PASS,
output tracked: outputs/external_transfer_pairs.csv,tracked,tracked,PASS,
output tracked: outputs/external_transfer_pairs_independent.csv,tracked,tracked,PASS,
output tracked: outputs/fedbatch_design.csv,tracked,tracked,PASS,
output tracked: outputs/fig01_dose_response_correction.png,tracked,tracked,PASS,
output tracked: outputs/fig01_dose_response_correction.svg,tracked,tracked,PASS,
output tracked: outputs/fig02_heldout_skill_vs_saturation.png,tracked,tracked,PASS,
output tracked: outputs/fig02_heldout_skill_vs_saturation.svg,tracked,tracked,PASS,
output tracked: outputs/fig03_transfer_honesty.png,tracked,tracked,PASS,
output tracked: outputs/fig03_transfer_honesty.svg,tracked,tracked,PASS,
output tracked: outputs/fig04_interval_robustness.png,tracked,tracked,PASS,
output tracked: outputs/fig04_interval_robustness.svg,tracked,tracked,PASS,
output tracked: outputs/figures_manifest.csv,tracked,tracked,PASS,
output tracked: outputs/flux_experiment_design.csv,tracked,tracked,PASS,
output tracked: outputs/flux_null_baseline.csv,tracked,tracked,PASS,
output tracked: outputs/fold_multiplicity.csv,tracked,tracked,PASS,
output tracked: outputs/g1_20260701_ER_preliminary_(RAW).csv,tracked,tracked,PASS,
output tracked: outputs/g1_20260709_ER_stress_1st_(RAW).csv,tracked,tracked,PASS,
output tracked: outputs/g1_20260722_ERandOxidativeStress_NewProtocol_ANALYSED.csv,tracked,tracked,PASS,
output tracked: outputs/g1_20260728_ERandOxidativeStress_NewProtocol_Replicate2.csv,tracked,tracked,PASS,
output tracked: outputs/g1_20260803_ERandoxidativestress_Replicate3.csv,tracked,tracked,PASS,
output tracked: outputs/g4_anchor_fold_change.csv,tracked,tracked,PASS,
output tracked: outputs/g4_reporter_response.csv,tracked,tracked,PASS,
output tracked: outputs/g4_rt_minus_qc.csv,tracked,tracked,PASS,
output tracked: outputs/g4_verdicts.csv,tracked,tracked,PASS,
output tracked: outputs/gain_linearity.csv,tracked,tracked,PASS,
output tracked: outputs/gem_environment_formulation.csv,tracked or ignored,UNTRACKED,FAIL,produced but never committed; nobody else can see it
output tracked: outputs/gem_environment_predictions.csv,tracked,tracked,PASS,
output tracked: outputs/gem_environment_scores.csv,tracked,tracked,PASS,
output tracked: outputs/gem_version_diff.csv,tracked,tracked,PASS,
output tracked: outputs/glycogen_calibration.csv,tracked,tracked,PASS,
output tracked: outputs/heldout_interpolation_by_dose.csv,tracked,tracked,PASS,
output tracked: outputs/heldout_scores.csv,tracked,tracked,PASS,
output tracked: outputs/late_window_sensitivity.csv,tracked,tracked,PASS,
output tracked: outputs/maintenance_scale.csv,tracked,tracked,PASS,
output tracked: outputs/module_recovery.csv,tracked,tracked,PASS,
output tracked: outputs/nis_innovations.csv,tracked,tracked,PASS,
output tracked: outputs/nis_summary.csv,tracked,tracked,PASS,
output tracked: outputs/panel_calibration.csv,tracked,tracked,PASS,
output tracked: outputs/parameter_provenance.csv,tracked,tracked,PASS,
output tracked: outputs/phb_environment_score.csv,tracked,tracked,PASS,
output tracked: outputs/power_analysis.csv,tracked,tracked,PASS,
output tracked: outputs/product_environment_coverage.csv,tracked,tracked,PASS,
output tracked: outputs/product_environment_sweep.csv,tracked,tracked,PASS,
output tracked: outputs/product_prediction.csv,tracked,tracked,PASS,
output tracked: outputs/product_scoreboard.csv,tracked,tracked,PASS,
output tracked: outputs/proteomics_gain.csv,tracked,tracked,PASS,
output tracked: outputs/provenance.json,tracked,tracked,PASS,
