check,expected,actual,status,detail
every seeded entry point is exercised,33 discovered,"33 covered, 0 exempt, 0 neither",PASS,
no specimen targets a function that no longer exists,none,0,PASS,
"same seed, same answer: dose_response_permutation",digest(0) == digest(0),identical,PASS,0.15 s for two runs
seed changes the answer: dose_response_permutation,"same answer for every seed -- the p-value is at its floor and stays there. UPRE1's plate-averaged Spearman is +0.946, and not one of 200 within-plate reshuffles reaches it, so the count of exceedances is zero for every seed and p is 1/201 by arithmetic. That is a property of the data rather than of the draw -- and the specimen is kept on the real table rather than moved to a weaker case that would wobble, because a determinism check should exercise the call the scripts actually make",0/3 differ,PASS,
"same seed, same answer: recovery_error",digest(0) == digest(0),identical,PASS,0.06 s for two runs
seed changes the answer: recovery_error,"a different digest for at least one of [1, 2, 3]",3/3 differ,PASS,
"same seed, same answer: fold_recovery",digest(0) == digest(0),identical,PASS,0.07 s for two runs
seed changes the answer: fold_recovery,"a different digest for at least one of [1, 2, 3]",3/3 differ,PASS,
"same seed, same answer: fold_change",digest(0) == digest(0),identical,PASS,0.03 s for two runs
seed changes the answer: fold_change,"a different digest for at least one of [1, 2, 3]",3/3 differ,PASS,
"same seed, same answer: activity_uncertainty",digest(0) == digest(0),identical,PASS,0.02 s for two runs
seed changes the answer: activity_uncertainty,"a different digest for at least one of [1, 2, 3]",3/3 differ,PASS,
"same seed, same answer: compare_to_null",digest(0) == digest(0),identical,PASS,0.00 s for two runs
seed changes the answer: compare_to_null,"a different digest for at least one of [1, 2, 3]",3/3 differ,PASS,
"same seed, same answer: fit_latent",digest(0) == digest(0),identical,PASS,0.02 s for two runs
seed changes the answer: fit_latent,"a different digest for at least one of [1, 2, 3]",3/3 differ,PASS,
"same seed, same answer: select_dimension",digest(0) == digest(0),identical,PASS,0.06 s for two runs
seed changes the answer: select_dimension,"same answer for every seed -- returns an argmin over integer widths; the seed moves the cross-validated scores, and a stable winner under a moving score is the intended behaviour",0/3 differ,PASS,
"same seed, same answer: detection_power",digest(0) == digest(0),identical,PASS,0.06 s for two runs
seed changes the answer: detection_power,"a different digest for at least one of [1, 2, 3]",3/3 differ,PASS,
"same seed, same answer: discrimination_power",digest(0) == digest(0),identical,PASS,0.09 s for two runs
seed changes the answer: discrimination_power,"a different digest for at least one of [1, 2, 3]",2/3 differ,PASS,
"same seed, same answer: power_curve",digest(0) == digest(0),identical,PASS,0.06 s for two runs
seed changes the answer: power_curve,"a different digest for at least one of [1, 2, 3]",3/3 differ,PASS,
"same seed, same answer: replicates_needed",digest(0) == digest(0),identical,PASS,0.19 s for two runs
seed changes the answer: replicates_needed,same answer for every seed -- returns the first replicate count clearing a power threshold; an integer search over a noisy curve is allowed to land on the same answer,0/3 differ,PASS,
"same seed, same answer: ratio_discrimination_power",digest(0) == digest(0),identical,PASS,0.00 s for two runs
