pmid,title,journal,year,cited_in
10022859,Correlation between protein and mRNA abundance in yeast,Mol Cell Biol,1999,docs/research/STRESS_RULES.md:327;docs/research/STRESS_RULES.md:335
10347154,Yap1 and Skn7 control two specialized oxidative stress response regulons in yeast,J Biol Chem,1999,docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:758
10361303,"The mitosome, a novel organelle related to mitochondria in the amitochondrial parasite Entamoeba histolytica",Mol Microbiol,1999,docs/CITATION_AUDIT.md:100;docs/SOURCE_AUDIT.md:73
10409737,Osmotic stress-induced gene expression in Saccharomyces cerevisiae requires Msn1p and the novel nuclear factor Hot1p,Mol Cell Biol,1999,docs/research/PARAMETER_SOURCES.md:479;docs/research/PARAMETER_SOURCES.md:72
10411744,The heat shock response in yeast: differential regulations and contributions of the Msn2p/Msn4p and Hsf1p regulons,Mol Microbiol,1999,docs/CITATION_AUDIT.md:230;docs/CROSS_FAMILY.md:63;docs/SOURCE_AUDIT.md:350;docs/research/PARAMETER_SOURCES.md:96;src/ystwin/generator/families.py:392;src/ystwin/generator/stress_panel.py:231
10468205,Reactivity of biologically important thiol compounds with superoxide and hydrogen peroxide,Free Radic Biol Med,1999,docs/CITATION_AUDIT.md:255;docs/superseded/pool-before-regulon.md:50;src/ystwin/generator/stress_panel.py:330;tests/test_per_module_potency.py:23
10594829,Genome-wide analysis of gene expression regulated by the yeast cell wall integrity signalling pathway,Mol Microbiol,1999,docs/CITATION_AUDIT.md:100;docs/SOURCE_AUDIT.md:73;src/ystwin/generator/stress_panel.py:246
10604474,Induction of autophagy and inhibition of tumorigenesis by beclin 1,Nature,1999,docs/CITATION_AUDIT.md:104;docs/SOURCE_AUDIT.md:77
10604478,The TOR signalling pathway controls nuclear localization of nutrient-regulated transcription factors,Nature,1999,docs/CITATION_AUDIT.md:104;docs/SOURCE_AUDIT.md:77;src/ystwin/generator/stress_panel.py:258
10673398,"The oxidative stress-sensitive yap1 null strain of Saccharomyces cerevisiae becomes resistant due to increased carotenoid levels upon the introduction of the Chlamydomonas reinhardtii cDNA, coding for the 60S ribosomal protein L10a",Biochem Biophys Res Commun,2000,docs/research/STRESS_RULES.md:363;docs/research/STRESS_RULES.md:482;docs/research/STRESS_RULES.md:555;docs/research/STRESS_RULES.md:71
10722658,The transcriptional response of Saccharomyces cerevisiae to osmotic shock. Hot1p and Msn2p/Msn4p are required for the induction of subsets of high osmolarity glycerol pathway-dependent genes,J Biol Chem,2000,docs/research/PARAMETER_SOURCES.md:474;docs/research/PARAMETER_SOURCES.md:72
10847680,Functional and genomic analyses reveal an essential coordination between the unfolded protein response and ER-associated degradation,Cell,2000,docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:662
10948426,Irreversible heat inactivation of DNase I without RNA degradation,Biotechniques,2000,docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:746
10951190,Can yeast glycolysis be understood in terms of in vitro kinetics of the constituent enzymes? Testing biochemistry,Eur J Biochem,2000,src/ystwin/mech/atp_teusink2000.py:204;src/ystwin/mech/atp_teusink2000.py:5
10963673,Singular value decomposition for genome-wide expression data processing and modeling,Proc Natl Acad Sci U S A,2000,docs/research/STRESS_RULES.md:211;docs/research/STRESS_RULES.md:589
11013218,H2O2 sensing through oxidation of the Yap1 transcription factor,EMBO J,2000,docs/superseded/pool-before-regulon.md:69;src/ystwin/generator/stress_panel.py:385;src/ystwin/mech/oxidative.py:517;tests/test_per_module_potency.py:60;tests/test_stress_panel.py:73
11050096,Alkaline response genes of Saccharomyces cerevisiae and their relationship to the RIM101 pathway,J Biol Chem,2001,src/ystwin/generator/stress_panel.py:282
11069660,Glucose-induced cAMP signalling in yeast requires both a G-protein coupled receptor system for extracellular glucose detection and a separable hexose kinase-dependent sensing process,Mol Microbiol,2000,src/ystwin/mech/carbon_williamson2009.py:1282;src/ystwin/mech/carbon_williamson2009.py:233
11102521,Genomic expression programs in the response of yeast cells to environmental changes,Mol Biol Cell,2000,docs/CITATION_AUDIT.md:131;docs/CITATION_AUDIT.md:184;docs/EXTERNAL_VALIDATION.md:47;docs/EXTERNAL_VALIDATION.md:571;docs/EXTERNAL_VALIDATION.md:586;docs/SOURCE_AUDIT.md:387;docs/research/EXTERNAL_DATA.md:383;docs/research/PARAMETER_SOURCES.md:149;docs/research/PARAMETER_SOURCES.md:405;docs/research/PARAMETER_SOURCES.md:89;docs/research/PARAMETER_SOURCES.md:92;docs/research/PARAMETER_SOURCES.md:93;docs/research/PARAMETER_SOURCES.md:94;docs/research/PARAMETER_SOURCES.md:95;docs/research/PARAMETER_SOURCES.md:96;docs/research/STRESS_RULES.md:82;docs/research/UPR_ANCHOR.md:777;scripts/run_external_validation.py:139;scripts/run_external_validation.py:142;src/ystwin/citations.py:60;tests/test_citations.py:188;tests/test_citations.py:193
11179418,Remodeling of yeast genome expression in response to environmental changes,Mol Biol Cell,2001,docs/CITATION_AUDIT.md:184;docs/research/EXTERNAL_DATA.md:393;docs/research/PARAMETER_SOURCES.md:150;docs/research/PARAMETER_SOURCES.md:410;docs/research/PARAMETER_SOURCES.md:89;docs/research/PARAMETER_SOURCES.md:93;docs/research/PARAMETER_SOURCES.md:94;docs/research/PARAMETER_SOURCES.md:96;docs/research/STRESS_RULES.md:83;docs/research/STRESS_RULES.md:84;src/ystwin/citations.py:60;tests/test_citations.py:188;tests/test_citations.py:193
11387331,Reducing the environmental sensitivity of yellow fluorescent protein. Mechanism and applications,J Biol Chem,2001,docs/research/GENERATOR_REALISM.md:370;docs/research/GENERATOR_REALISM.md:472;src/ystwin/mech/ph.py:1161;src/ystwin/photophysics.py:41;tests/test_environment_sweep.py:185;tests/test_photophysics.py:139
11595189,Block of HAC1 mRNA translation by long-range base pairing is released by cytoplasmic splicing upon induction of the unfolded protein response,Cell,2001,docs/CITATION_AUDIT.md:82;docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:612
11698381,Yeast PalA/AIP1/Alix homolog Rim20p associates with a PEST-like region and is required for its proteolytic cleavage,J Bacteriol,2001,docs/CITATION_AUDIT.md:260;src/ystwin/generator/stress_panel.py:281
11753368,A variant of yellow fluorescent protein with fast and efficient maturation for cell-biological applications,Nat Biotechnol,2002,docs/research/GENERATOR_REALISM.md:348;docs/research/GENERATOR_REALISM.md:465;src/ystwin/generator/culture.py:384;tests/test_crabtree_transition.py:192
11782433,Acute glucose starvation activates the nuclear localization signal of a stress-specific yeast transcription factor,EMBO J,2002,src/ystwin/mech/state.py:630;tests/test_mech_integrate.py:102
11918814,Control of 26S proteasome expression by transcription factors regulating multidrug resistance in Saccharomyces cerevisiae,Mol Microbiol,2002,docs/SOURCE_AUDIT.md:353;docs/research/PARAMETER_SOURCES.md:74;src/ystwin/generator/stress_panel.py:237
11967066,HSF and Msn2/4p can exclusively or cooperatively activate the yeast HSP104 gene,Mol Microbiol,2002,docs/research/PARAMETER_SOURCES.md:458;docs/research/PARAMETER_SOURCES.md:70
12134151,Revealing modular organization in the yeast transcriptional network,Nat Genet,2002,docs/research/PARAMETER_SOURCES.md:156;docs/research/PARAMETER_SOURCES.md:448
12184808,Accurate normalization of real-time quantitative RT-PCR data by geometric averaging of multiple internal control genes,Genome Biol,2002,docs/CITATION_AUDIT.md:169;docs/SOURCE_AUDIT.md:387;docs/research/UPR_ANCHOR.md:722
12399584,Transcriptional regulatory networks in Saccharomyces cerevisiae,Science,2002,docs/research/PARAMETER_SOURCES.md:152;docs/research/PARAMETER_SOURCES.md:435
12429058,Exploring the conditional coregulation of yeast gene expression through fuzzy k-means clustering,Genome Biol,2002,docs/research/STRESS_RULES.md:212;docs/research/STRESS_RULES.md:589
12437921,A thiol peroxidase is an H2O2 receptor and redox-transducer in gene activation,Cell,2002,docs/superseded/pool-before-regulon.md:59;src/ystwin/mech/oxidative.py:518;tests/test_per_module_potency.py:26
12482873,"Cyclin D3 is a cofactor of retinoic acid receptors, modulating their activity in the presence of cellular retinoic acid-binding protein II",J Biol Chem,2003,docs/CITATION_AUDIT.md:103;docs/SOURCE_AUDIT.md:76
12489126,Automated screening in environmental arrays allows analysis of quantitative phenotypic profiles in Saccharomyces cerevisiae,Yeast,2003,docs/research/PARAMETER_SOURCES.md:542
12509465,The transcription factor Rim101p governs ion tolerance and cell differentiation by direct repression of the regulatory genes NRG1 and SMP1 in Saccharomyces cerevisiae,Mol Cell Biol,2003,docs/CITATION_AUDIT.md:110;docs/SOURCE_AUDIT.md:83;src/ystwin/generator/stress_panel.py:285
12588995,"War1p, a novel transcription factor controlling weak acid stress response in yeast",Mol Cell Biol,2003,docs/CITATION_AUDIT.md:110;docs/SOURCE_AUDIT.md:83
12641468,"Bacterial phytoene synthase: molecular cloning, expression, and characterization of Erwinia herbicola phytoene synthase",Biochemistry,2003,docs/research/STRESS_RULES.md:428
12676948,Multiple pathways are co-regulated by the protein kinase Snf1 and the transcription factors Adr1 and Cat8,J Biol Chem,2003,docs/CITATION_AUDIT.md:103;docs/CITATION_AUDIT.md:182;docs/SOURCE_AUDIT.md:76;docs/research/PARAMETER_SOURCES.md:496;docs/research/PARAMETER_SOURCES.md:73;src/ystwin/citations.py:59;src/ystwin/generator/stress_panel.py:255;tests/test_citations.py:200
12740579,Module networks: identifying regulatory modules and their condition-specific regulators from gene expression data,Nat Genet,2003,docs/research/PARAMETER_SOURCES.md:156;docs/research/PARAMETER_SOURCES.md:450;docs/research/STRESS_RULES.md:210;docs/research/STRESS_RULES.md:589
13034889,Anaerobic nutrition of Saccharomyces cerevisiae. I. Ergosterol requirement for growth in a defined medium,J Cell Comp Physiol,1953,docs/EXTERNAL_PRODUCT_VALIDATION.md:68;docs/research/GENERATOR_REALISM.md:301;docs/research/GENERATOR_REALISM.md:470;scripts/run_environment_sweep.py:94;src/ystwin/fba/stress_oxygen.py:210;src/ystwin/generator/context.py:128;src/ystwin/generator/context.py:197;src/ystwin/generator/context.py:276;tests/test_environment_sweep.py:101;tests/test_external_torello_pianale.py:16
14556853,Two redox centers within Yap1 for H2O2 and thiol-reactive chemicals signaling,Free Radic Biol Med,2003,docs/superseded/pool-before-regulon.md:128;src/ystwin/generator/stress_panel.py:415
