# The owner's stress diagram, layer by layer, against what is actually in yeast-GEM v9.0.2 and
# in ystwin. One row per diagram item. Read this file, not the module: the module is a loader,
# a validator and three measurements; the table is the work.
#
# SIX VERDICTS, and the one that carries the audit is NOT_METABOLIC.
#   IN_GEM           reactions exist in the SHIPPED yeast-GEM. gem_reactions lists their ids.
#   IN_GEM_RESTORED  reactions exist, but a gene the item needs arrives only through
#                    fba/stress_genes.py::restore_stress_genes. The row names the ORF.
#   IN_MODULE        no GEM reaction of its own; a named ystwin module carries it.
#   NOT_METABOLIC    a regulator with no metabolic reaction. CORRECTLY absent from a metabolic
#                    model -- this is not a gap and must not be counted as one. panel_module
#                    names the ystwin module its pathway is represented by, or "-" when the
#                    pathway itself is unrepresented at the PANEL layer -- a hole of a
#                    different kind from GAP, returned by unrepresented_pathways() and not
#                    by gaps(). Three rows: sensor.GPR1, cascade.PKA_kinases, sensor.SPS.
#   GAP              genuinely missing and closable. The basis states the route.
#   REFUSED          missing, deliberately. The basis states why, and what measurement closes it.
#
# ABSENCE IS ESTABLISHED BY ORF, NEVER BY SYMBOL. cobrapy leaves Gene.name empty, so a symbol
# lookup on a cobra model returns nothing for every gene and the whole diagram reads as absent.
# The map is built from data/gem/yeast-GEM.xml.gz's own fbc:geneProduct labels by
# fba/stress_genes.py::gene_label_map. Two rows here exist because of that trap: GPX3 IS in the
# model, under its systematic name HYR1 (YIR037W) on r_0483; and RHO1 (YPR165W) -- the CWI
# cascade's terminal GTPase -- IS in the model, as a subunit of 1,3-beta-glucan synthase r_0005.
# A symbol sweep calls both absent and both calls are wrong.
#
# ORFs are SGD's, resolved from data/external/sgd/gene_association.sgd.gaf.gz (gitignored) and
# data/external/sgd/regulation/*.json (tracked). WSC1 resolves through its alias SLG1, GPX3
# through HYR1, ACE1 through CUP2, CRT1 through RFX1. Every ORF here is SGD's PRIMARY
# systematic name -- the first entry of the GAF synonym field -- never a merged
# secondary one; test_every_orf_is_sgds_primary_systematic_name re-checks it.
#
# gem_reactions ids are yeast-GEM v9.0.2's own, read out of the vendored SBML this session and
# re-checked on every load by verify_coverage(). panel_module is a key of
# generator/stress_panel.py::MODULES. code_module is a dotted ystwin module.
#
# THIS TABLE AND data/gem/absent_stress_genes.tsv ARE HELD TOGETHER BY ONE INVARIANT: every gene
# stress_genes actually ADDS to the model (verdict GPR_EXTEND or NEW_REACTION, 19 of them) must be
# named by some row here, or a gene was restored for a function nothing represents. It did not
# hold until this pass added adaptation.manganese_homeostasis (SMF2), adaptation.n_glycosylation
# (ALG3) and the four late mannan transferases MNN2/MNN5/MNT2/MNT3. The 20 gene-layer REFUSALS are
# not held to it: seven are the cell-wall cross-linking cluster and have their own REFUSED row
# here; the other thirteen -- CCS1, CYB5, DAP1, ERG28, GLC3, KHA1, MNN4, TOK1, VCX1, VMA21, VMA22,
# VNX1, VPH2 -- are accessory subunits or paralogues of items already represented, and a row
# apiece would be padding. test_every_gene_the_restore_adds_lands_in_some_pathway_row pins both.
#
layer	item	label	orfs	verdict	gem_reactions	panel_module	code_module	basis	source
SENSOR	sensor.WSC1	Wsc1 cell-wall mechanosensor	YOR008C	NOT_METABOLIC	-	cell_wall	-	A single-pass mechanosensor that activates Rom2 by conformational strain. It catalyses nothing and transports nothing, so a stoichiometric model has no place to put it. Its pathway is represented: MODULES['cell_wall'] carries Slt2/Mpk1 -> Rlm1 and reaches r_0005 through the RLM1 regulon. Correctly absent -- not a gap.	SGD alias SLG1; Philip & Levin 2001, PMID 11113201
SENSOR	sensor.MID2	Mid2 cell-wall sensor	YLR332W	NOT_METABOLIC	-	cell_wall	-	As WSC1. O-mannosylated sensor, no catalytic function. Correctly absent.	Rajavel 1999, PMID 10330137
SENSOR	sensor.MTL1	Mtl1 cell-wall sensor	YGR023W	NOT_METABOLIC	-	cell_wall	-	As WSC1: a single-pass membrane sensor with no catalytic and no transport function, and the shortest cytoplasmic tail of the three. Correctly absent, and its pathway is represented by MODULES['cell_wall'].	Rajavel 1999, PMID 10330137
SENSOR	sensor.SLN1	Sln1 osmosensing histidine kinase	YIL147C	NOT_METABOLIC	-	osmotic	-	A phosphorelay histidine kinase. Its autophosphorylation is an ATP-consuming step that no GEM carries for any kinase; adding it for Sln1 alone would price one kinase out of several hundred. Correctly absent. Pathway represented by MODULES['osmotic'].	Posas 1996, PMID 8808622
SENSOR	sensor.SHO1	Sho1 osmosensor branch	YER118C	NOT_METABOLIC	-	osmotic	-	Transmembrane scaffold, no catalysis. Correctly absent.	Maeda 1995, PMID 7624781
SENSOR	sensor.IRE1	Ire1 ER stress sensor	YHR079C	NOT_METABOLIC	-	UPR	fba.stress_proteostasis	A kinase/endoribonuclease whose substrate is HAC1 mRNA. Splicing an mRNA is not a metabolic transformation. Correctly absent. The UPR's METABOLIC consequence -- chaperone synthesis -- is priced by stress_proteostasis.add_chaperone_sink through HAC1_CHAPERONE_ORFS.	Cox & Walter 1996, PMID 8898193
SENSOR	sensor.YAP1	Yap1 thiol-peroxide sensor	YML007W	NOT_METABOLIC	-	oxidative	-	A bZIP factor oxidised by Gpx3/Orp1. The sensing chemistry IS a redox reaction, but its substrate is a cysteine pair on a transcription factor, which is not a metabolite in yeast-GEM. Correctly absent; the module and the peroxide chemistry it senses are both represented.	Delaunay 2002, PMID 12437921
SENSOR	sensor.SKN7	Skn7 response regulator	YHR206W	NOT_METABOLIC	-	oxidative	-	Receives the Sln1 phosphorelay and co-operates with Yap1. No catalysis. Correctly absent.	Morgan 1997, PMID 9118942
SENSOR	sensor.HSF1	Hsf1 heat sensor	YGL073W	NOT_METABOLIC	-	heat	fba.stress_proteostasis	Trimerising transcription factor titrated by Hsp70. No catalysis. Correctly absent. Its regulon is carried as the GPR of the chaperone sink (HSF1_CHAPERONE_ORFS = SSA1/SSA2/HSP104/HSP82).	Sorger & Pelham 1988, PMID 3044613
SENSOR	sensor.SNF1	Snf1 AMPK catalytic subunit	YDR477W	NOT_METABOLIC	-	carbon	-	A protein kinase. Correctly absent. Pathway represented by MODULES['carbon'] (Snf1 -> Adr1/Cat8), which reaches 19 reactions through the ADR1/CAT8 regulon.	Celenza & Carlson 1986, PMID 3526554
